project	toggle	date
gitlab	backup_finding_remediations	
gitlab	dast_profiles_pipelines	
gitlab	plans	
gitlab	vulnerability_identifiers	
gitlab	ml_candidate_metadata	
gitlab	work_item_type_user_preferences	
gitlab	banned_users	
gitlab	award_emoji	
gitlab	approval_merge_request_rules_groups	
gitlab	work_item_custom_lifecycle_statuses	
gitlab	dependency_proxy_manifest_states	
gitlab	merge_request_diff_details	
gitlab	operations_feature_flags_issues	
gitlab	agent_group_authorizations	
gitlab	merge_requests_approval_rules_approver_groups	
gitlab	ci_runner_versions	
gitlab	activity_pub_releases_subscriptions	
gitlab	subscription_seat_assignments	
gitlab	oauth_openid_requests	
gitlab	ci_project_monthly_usages	
gitlab	packages_package_file_states	
gitlab	snippet_repository_storage_moves	
gitlab	oauth_access_grant_archived_records	
gitlab	software_licenses	
gitlab	p_ai_active_context_code_repositories	
gitlab	ai_troubleshoot_job_events	
gitlab	ai_catalog_item_consumers	
gitlab	oauth_access_token_archived_records	
gitlab	elastic_index_settings	
gitlab	user_achievements	
gitlab	ai_vectorizable_file_uploads	
gitlab	p_ci_job_annotations	
gitlab	packages_dependencies	
gitlab	workspace_variables	
gitlab	merge_request_diff_files_99208b8fac	
gitlab	audit_events_streaming_event_type_filters	
gitlab	identities	
gitlab	work_item_custom_lifecycles	
gitlab	design_management_versions	
gitlab	work_item_descriptions	
gitlab	operations_user_lists	
gitlab	p_knowledge_graph_replicas	
gitlab	agent_user_access_group_authorizations	
gitlab	vulnerability_occurrence_identifiers	
gitlab	dast_site_profiles_builds	
